Person:Long|HS0:Int
2199023255684|8
7696581401177|1
5497558142539|5
8796093025641|2
8796093032887|6
4398046520405|11
4398046513321|11
14293651168808|1
12094627914354|1
13194139540761|11
3298534885161|1
3298534883647|4
6597069766763|2
6597069775435|2
16492674419181|1
14293651166526|8
1099511629682|9
4398046518215|9
15393162794130|11
8796093033007|8
12094627907620|5
1099511632228|8
9895604654233|12
16492674421669|8
12094627908670|3
7696581400474|1
10995116287670|12
16492674426273|8
12094627909144|5
2199023261508|8
1099511628064|7
13194139538200|7
13194139537495|1
12094627907500|5
15393162790870|5
14293651171150|3
5497558139077|11
12094627911949|6
2199023259617|8
15393162797325|9
15393162798979|9
6597069767913|9
4398046511324|10
14293651168563|4
14293651171015|12
1099511632346|2
7696581397612|12
13194139533429|11
3298534883711|11
2199023256865|1
17592186046558|2
3298534889977|10
2199023264865|6
9895604655215|5
14293651170540|12
1099511632934|1
4398046520274|7
14293651166247|6
14293651163010|2
3298534889552|5
5497558141813|9
3298534889095|11
10995116284769|1
8796093024786|7
6634|2
5497558143605|10
10995116288474|2
5497558142687|1
16492674424094|5
14293651164454|9
8796093031574|4
15393162794435|2
15393162790892|10
10665|10
8796093031927|11
7696581395924|4
9895604658673|6
9895604660144|3
12094627913691|7
3298534891102|4
1099511630136|5
16492674416697|10
14293651162106|12
13194139539883|8
4398046518545|2
5497558139365|8
2199023263953|6
6597069766945|12
16492674426649|9
5497558148460|11
4398046511540|9
10995116286740|7
6597069769660|11
5497558144228|10
1099511632606|4
1099511634110|2
1099511628070|5
12094627913053|7
7151|2
