Person:Long|Country|Year:Int
2199023255684|Bulgaria|1981
7696581401177|Tajikistan|1981
5497558142539|Libya|2018
8796093025641|Lithuania|1984
8796093032887|Denmark|1974
4398046520405|Angola|2015
4398046513321|Mauritius|1998
14293651168808|Singapore|1990
12094627914354|Slovakia|1998
13194139540761|Latvia|2010
3298534885161|Latvia|1979
3298534883647|Latvia|2005
6597069766763|Latvia|2009
6597069775435|Tajikistan|2014
16492674419181|Libya|1984
14293651166526|Mauritius|2003
1099511629682|Latvia|1982
4398046518215|Angola|2000
15393162794130|Mauritius|1979
8796093033007|Mauritius|2013
12094627907620|Libya|2017
1099511632228|Angola|1988
9895604654233|Lithuania|1982
16492674421669|Libya|2023
12094627908670|Bulgaria|2008
7696581400474|Libya|2016
10995116287670|Latvia|1971
16492674426273|Denmark|2019
12094627909144|Mauritius|2004
2199023261508|Mauritius|1987
1099511628064|Latvia|1993
13194139538200|Lithuania|2011
13194139537495|Lithuania|2013
15393162790870|Lithuania|1980
12094627907500|Lithuania|2004
14293651171150|Slovakia|1979
5497558139077|Slovakia|2023
12094627911949|Lithuania|1994
2199023259617|Lithuania|2020
15393162798979|Angola|2010
15393162797325|Angola|2003
6597069767913|Angola|1984
4398046511324|Libya|1998
14293651168563|Bulgaria|1977
14293651171015|Libya|1977
7696581397612|Bulgaria|2009
1099511632346|Angola|1989
13194139533429|Bulgaria|2011
3298534883711|Bulgaria|1983
2199023256865|Mauritius|2009
17592186046558|Libya|2009
3298534889977|Singapore|1986
2199023264865|Denmark|1975
9895604655215|Slovakia|1991
14293651170540|Tajikistan|1997
1099511632934|Angola|1975
4398046520274|Singapore|1980
14293651166247|Bulgaria|1973
14293651163010|Latvia|2002
3298534889552|Tajikistan|2018
5497558141813|Singapore|1981
3298534889095|Latvia|1971
10995116284769|Slovakia|2008
8796093024786|Lithuania|2014
6634|Tajikistan|2023
5497558143605|Angola|2003
10995116288474|Latvia|1988
5497558142687|Libya|2016
16492674424094|Slovakia|1976
14293651164454|Tajikistan|2008
8796093031574|Latvia|1975
15393162794435|Bulgaria|1991
15393162790892|Lithuania|1997
10665|Latvia|1990
8796093031927|Slovakia|1979
7696581395924|Latvia|1982
9895604658673|Slovakia|2015
9895604660144|Singapore|1995
12094627913691|Mauritius|2001
3298534891102|Tajikistan|1981
1099511630136|Denmark|2009
14293651162106|Tajikistan|1988
16492674416697|Singapore|2002
13194139539883|Mauritius|2020
4398046518545|Libya|2024
5497558139365|Bulgaria|1972
2199023263953|Latvia|2013
6597069766945|Slovakia|2017
16492674426649|Angola|1987
5497558148460|Angola|1991
4398046511540|Slovakia|2001
10995116286740|Denmark|2020
6597069769660|Lithuania|1991
5497558144228|Lithuania|2018
1099511632606|Libya|2011
1099511634110|Bulgaria|1978
1099511628070|Mauritius|2020
12094627913053|Denmark|1970
7151|Angola|1977
