Person:Long|TagType
9895604660144|MilitaryUnit
13194139537495|SoccerManager
8796093030111|Chancellor
15393162796492|EurovisionSongContestEntry
1099511629682|GolfPlayer
8796093031574|Chancellor
3298534885161|GolfPlayer
4398046514776|EurovisionSongContestEntry
15393162798093|Chancellor
5497558139077|SoccerManager
5497558143605|SoccerManager
9909|MilitaryUnit
9895604649986|GolfPlayer
15393162792645|MilitaryUnit
15393162790892|EurovisionSongContestEntry
4398046511540|Chancellor
7696581395924|GolfPlayer
6597069776438|EurovisionSongContestEntry
2199023264500|GolfPlayer
14293651171150|MilitaryUnit
2199023257629|Chancellor
4398046512127|Chancellor
15393162798979|SoccerManager
13194139539883|Chancellor
8796093022790|SoccerManager
9895604655215|Chancellor
12094627913053|MilitaryUnit
1099511632228|Chancellor
5497558142687|Chancellor
13194139534312|SoccerManager
12094627910228|SoccerManager
2199023258187|EurovisionSongContestEntry
16492674426273|EurovisionSongContestEntry
2199023255684|Chancellor
6634|EurovisionSongContestEntry
9895604654233|SoccerManager
6597069775004|SoccerManager
12094627907620|MilitaryUnit
16492674417855|SoccerManager
16492674426056|Chancellor
10995116288474|GolfPlayer
12094627906450|GolfPlayer
4398046520405|Chancellor
16492674416965|GolfPlayer
1099511628064|Chancellor
14293651166526|GolfPlayer
13194139538093|Chancellor
6597069766945|EurovisionSongContestEntry
3298534885860|GolfPlayer
10995116283581|SoccerManager
16492674416697|MilitaryUnit
1099511632606|EurovisionSongContestEntry
1099511630859|Chancellor
15393162794130|SoccerManager
2199023264964|MilitaryUnit
14293651163010|SoccerManager
1099511632346|Chancellor
4398046516801|Chancellor
7696581401177|GolfPlayer
14293651166247|Chancellor
15393162791530|EurovisionSongContestEntry
2199023259617|GolfPlayer
4398046518215|EurovisionSongContestEntry
17592186046558|Chancellor
15393162791567|EurovisionSongContestEntry
14293651164567|EurovisionSongContestEntry
6597069767913|EurovisionSongContestEntry
8796093032060|EurovisionSongContestEntry
15393162799177|Chancellor
7813|EurovisionSongContestEntry
2199023260447|EurovisionSongContestEntry
6597069772333|GolfPlayer
9895604650524|EurovisionSongContestEntry
12094627916192|GolfPlayer
1099511638309|EurovisionSongContestEntry
16492674426649|GolfPlayer
7696581395035|EurovisionSongContestEntry
1099511630136|SoccerManager
4398046512339|SoccerManager
15393162789808|EurovisionSongContestEntry
5497558142539|GolfPlayer
5497558139365|Chancellor
14293651171015|MilitaryUnit
4398046514513|GolfPlayer
10995116277763|Chancellor
16492674419181|Chancellor
2199023259743|MilitaryUnit
14293651162106|Chancellor
4398046513321|EurovisionSongContestEntry
14293651166864|Chancellor
13194139540761|SoccerManager
14293651164830|EurovisionSongContestEntry
7696581401164|MilitaryUnit
14293651164454|Chancellor
14293651161631|GolfPlayer
6597069775435|EurovisionSongContestEntry
3298534889977|Chancellor
10995116286740|EurovisionSongContestEntry
1099511634110|EurovisionSongContestEntry
