Person1:Long|Person2:Long
15393162792296|5497558145173
7696581400215|10995116285377
14293651162247|14293651171696
7696581399031|14293651162995
4871|14293651162014
1099511632939|4398046520472
6597069771888|16492674420875
14293651168588|3298534889259
13194139540889|16492674424331
16492674424331|14293651162247
5497558140258|10995116283949
3298534887876|15393162794518
12094627910668|14293651171696
5497558145173|15393162792296
9895604658073|4398046520472
4398046521094|1099511632143
16492674419683|6770
3298534889610|15393162791937
1099511635486|2199023263798
7696581403065|7696581399031
16492674426593|14293651162247
15393162792159|16492674420275
6770|2199023257885
1099511637140|10995116280766
15393162791388|15393162792159
14293651162995|7696581399217
5497558141875|14293651162247
8121|15393162792159
15393162797573|5497558148180
13194139543458|14293651162014
6597069767698|1099511637140
15393162790834|6770
13194139537570|15393162792159
4398046518386|2199023256100
13194139538048|15393162797573
12094627906777|14293651162247
5497558140278|10995116283949
10995116280766|7696581394770
12094627909476|8796093026826
1099511631983|1099511635486
10995116282489|6597069768803
7696581399217|1099511628410
15393162794518|3298534887876
5497558148180|13194139537570
4398046520472|1099511632143
2199023256100|15393162799824
7696581399699|2199023257885
10995116284945|7696581399217
13194139543869|10995116283949
14293651162014|14293651163842
16492674417918|6597069767698
2199023257714|16492674421291
2199023258331|2199023261956
16492674420275|10995116285377
7915|16492674417918
7696581394770|16492674421291
2199023257507|7696581399031
13194139536153|15393162791388
16492674421291|3298534889259
1099511635402|7696581399217
3298534892281|3298534889610
3298534892883|7915
10995116288413|14293651166464
8796093026826|14293651163842
16492674420875|10995116280766
3298534887801|5497558148180
14293651163842|16492674417918
10995116281391|16492674421108
10995116281396|2199023257714
14293651166464|12094627909476
15393162799824|13194139543869
1099511632143|14293651162247
10995116286810|4871
1099511637716|14293651166464
10995116287952|10995116280367
14293651171696|16492674421291
13194139544077|12094627909476
16492674421108|16492674419683
3298534889259|14293651162014
15393162798286|10995116280367
8796093032653|13194139544077
14293651164587|16492674420275
10995116283949|1099511628410
10995116285377|6770
4398046520452|16492674417918
1099511628410|13194139538421
4423|13194139536153
2199023261956|2199023256100
8796093029176|5497558141875
2199023263798|7915
13194139543559|13194139538421
2323|15393162792296
2199023257885|16492674421108
15393162791937|14293651164587
13194139538421|2199023261956
1099511633370|1099511637716
8796093029539|8796093032653
10995116280367|2199023257714
6597069768803|7696581394770
