Person:Long|Name
2199023255684|Luciano
7696581401177|Leonid Maksimovich
5497558142539|Ewald
8796093025641|Maheen
8796093032887|Karim
4398046520405|Jacqueline
4398046513321|Joel
14293651168808|Lynn
12094627914354|Lu
13194139540761|Lu
3298534885161|Hermann
3298534883647|Henny
6597069766763|Karim
6597069775435|Gabriel Fernandez
16492674419181|Fritz Richard
14293651166526|Mohd Fazliata
1099511629682|Homer Calvin
4398046518215|Joy Destiny Tiurma Tobing
15393162794130|James
8796093033007|Jean
12094627907620|Galilea
1099511632228|Emilie
9895604654233|Muoi
16492674421669|Maheen
12094627908670|Ko
7696581400474|Kizen
16492674426273|Jessica
10995116287670|Lu
12094627909144|Íngrid
2199023261508|Gabriel Fernandez
1099511628064|Hassan-Ali
13194139538200|Gilvan Santos
13194139537495|Lynn
12094627907500|Lynn
15393162790870|Fritz Ter
5497558139077|Lotfi
14293651171150|Joy Destiny Tiurma Tobing
12094627911949|Lu
2199023259617|Lu
15393162797325|Michael
15393162798979|Holter
6597069767913|Keith
4398046511324|France
14293651168563|Jericho
14293651171015|Miriam
7696581397612|Fritz Richard
1099511632346|Jawid
13194139533429|Émile
3298534883711|Jericho
2199023256865|Jessica
17592186046558|Lu
3298534889977|Fritz Richard
2199023264865|Geronimo Dos
9895604655215|Muoi
14293651170540|Joy Destiny Tiurma Tobing
1099511632934|Lu
4398046520274|George Arthur
14293651166247|Lynn
14293651163010|Medji
3298534889552|Hans Ulrich Furst von
5497558141813|Lu
3298534889095|Lu
10995116284769|Joy Destiny Tiurma Tobing
8796093024786|Lynn
6634|Gordon Alexander
5497558143605|Madan Krishna
10995116288474|Maria
5497558142687|Marelize
16492674424094|Lynn
14293651164454|Marek
8796093031574|Lynn
15393162794435|Marc
15393162790892|Mohd Fazliata
10665|Ion
8796093031927|Jalil
7696581395924|Íngrid
9895604658673|Lynn
9895604660144|Ko
12094627913691|Lynn
3298534891102|Ina
1099511630136|Majeed
16492674416697|Ko
14293651162106|Lynn
13194139539883|Lily
4398046518545|Geoff
5497558139365|Hande
2199023263953|Lu
6597069766945|Ewald
16492674426649|Lynn
5497558148460|Jessica
4398046511540|Kim
10995116286740|Jose Maria
6597069769660|Macky
5497558144228|Felix
1099511632606|Lu
1099511634110|Giorgos Vasiliou
1099511628070|Lu
12094627913053|Lynn
7151|Lynn
