Person:Long|Date0:Long|Duration:Int|Country1|Country2
7696581400215|1296518400000|48|Bulgaria|Mauritius
15393162792296|1291161600000|31|Tajikistan|Singapore
6597069771888|1306886400000|30|Libya|Slovakia
4871|1306886400000|56|Lithuania|Slovakia
14293651168588|1291161600000|28|Denmark|Slovakia
13194139540889|1291161600000|28|Angola|Latvia
16492674424331|1291161600000|59|Mauritius|Lithuania
14293651162247|1304208000000|33|Singapore|Lithuania
7696581399031|1304208000000|28|Slovakia|Libya
1099511632939|1304208000000|28|Latvia|Bulgaria
5497558140258|1306886400000|35|Denmark|Slovakia
3298534887876|1306886400000|30|Lithuania|Bulgaria
12094627910668|1306886400000|35|Slovakia|Denmark
5497558145173|1306886400000|35|Slovakia|Latvia
9895604658073|1306886400000|35|Bulgaria|Slovakia
4398046521094|1306886400000|35|Libya|Slovakia
3298534889610|1304208000000|62|Lithuania|Latvia
1099511635486|1304208000000|55|Latvia|Bulgaria
7696581403065|1304208000000|31|Singapore|Tajikistan
16492674426593|1304208000000|31|Lithuania|Slovakia
16492674419683|1293840000000|30|Libya|Singapore
15393162792159|1325376000000|31|Mauritius|Tajikistan
6770|1325376000000|31|Slovakia|Mauritius
1099511637140|1291161600000|30|Latvia|Denmark
15393162791388|1325376000000|31|Lithuania|Latvia
14293651162995|1304208000000|28|Slovakia|Denmark
5497558141875|1304208000000|28|Mauritius|Singapore
8121|1304208000000|28|Denmark|Slovakia
15393162797573|1304208000000|28|Latvia|Libya
13194139543458|1304208000000|28|Libya|Latvia
6597069767698|1291161600000|29|Singapore|Libya
15393162790834|1291161600000|29|Bulgaria|Singapore
13194139537570|1291161600000|29|Tajikistan|Bulgaria
4398046518386|1291161600000|29|Latvia|Mauritius
13194139538048|1304208000000|42|Libya|Mauritius
7696581399217|1291161600000|28|Singapore|Slovakia
4398046520472|1304208000000|53|Mauritius|Libya
12094627906777|1306886400000|35|Slovakia|Latvia
5497558140278|1306886400000|35|Lithuania|Denmark
10995116280766|1306886400000|35|Lithuania|Angola
12094627909476|1306886400000|35|Libya|Lithuania
1099511631983|1304208000000|51|Slovakia|Latvia
10995116282489|1306886400000|35|Mauritius|Lithuania
15393162794518|1306886400000|35|Latvia|Mauritius
5497558148180|1306886400000|35|Slovakia|Lithuania
2199023256100|1306886400000|28|Tajikistan|Latvia
7696581399699|1301616000000|29|Angola|Slovakia
10995116284945|1306886400000|37|Tajikistan|Bulgaria
13194139543869|1306886400000|32|Bulgaria|Libya
2199023258331|1306886400000|40|Bulgaria|Slovakia
16492674417918|1306886400000|39|Slovakia|Lithuania
2199023257714|1325376000000|28|Singapore|Slovakia
16492674420275|1325376000000|28|Slovakia|Denmark
7915|1325376000000|28|Lithuania|Libya
14293651162014|1306886400000|29|Mauritius|Angola
16492674421291|1306886400000|29|Singapore|Mauritius
3298534892281|1306886400000|29|Lithuania|Mauritius
7696581394770|1304208000000|30|Angola|Libya
2199023257507|1304208000000|30|Libya|Slovakia
13194139536153|1304208000000|30|Bulgaria|Denmark
1099511635402|1304208000000|30|Libya|Lithuania
3298534892883|1325376000000|29|Slovakia|Libya
10995116288413|1304208000000|30|Angola|Mauritius
8796093026826|1325376000000|29|Latvia|Slovakia
16492674420875|1306886400000|52|Denmark|Bulgaria
3298534887801|1304208000000|29|Libya|Denmark
14293651163842|1306886400000|30|Singapore|Slovakia
10995116281391|1306886400000|30|Slovakia|Libya
10995116281396|1306886400000|30|Bulgaria|Mauritius
14293651166464|1306886400000|30|Mauritius|Lithuania
15393162799824|1304208000000|28|Bulgaria|Tajikistan
10995116286810|1306886400000|51|Tajikistan|Slovakia
1099511637716|1306886400000|28|Slovakia|Tajikistan
13194139544077|1306886400000|28|Bulgaria|Libya
1099511632143|1306886400000|34|Libya|Lithuania
10995116287952|1306886400000|34|Latvia|Bulgaria
14293651171696|1306886400000|34|Denmark|Libya
16492674421108|1304208000000|28|Tajikistan|Lithuania
3298534889259|1304208000000|28|Tajikistan|Libya
15393162798286|1304208000000|31|Libya|Lithuania
8796093032653|1304208000000|31|Singapore|Libya
14293651164587|1296518400000|34|Tajikistan|Bulgaria
10995116285377|1291161600000|90|Latvia|Singapore
4398046520452|1296518400000|34|Lithuania|Latvia
10995116283949|1306886400000|29|Latvia|Libya
2199023263798|1306886400000|33|Latvia|Angola
1099511628410|1306886400000|30|Libya|Bulgaria
4423|1304208000000|29|Libya|Latvia
2199023261956|1304208000000|29|Denmark|Libya
8796093029176|1304208000000|29|Tajikistan|Latvia
13194139543559|1304208000000|29|Mauritius|Lithuania
2323|1304208000000|28|Bulgaria|Denmark
2199023257885|1325376000000|41|Bulgaria|Angola
1099511633370|1304208000000|28|Latvia|Lithuania
8796093029539|1304208000000|28|Libya|Slovakia
15393162791937|1304208000000|34|Angola|Tajikistan
13194139538421|1304208000000|34|Denmark|Singapore
10995116280367|1304208000000|31|Lithuania|Denmark
6597069768803|1306886400000|31|Bulgaria|Lithuania
