Person:Long|Date0:Long|Duration:Int
13194139539258|1330560000000|42
16492674423114|1346457600000|30
3298534894118|1328054400000|39
4398046520416|1328054400000|29
8796093033007|1333238400000|38
16492674424080|1328054400000|29
9895604653119|1325376000000|36
7696581398596|1320105600000|51
4398046511728|1330560000000|29
14293651165358|1280620800000|32
13194139539572|1312156800000|30
15393162792761|1341100800000|40
15393162796744|1330560000000|50
15393162792712|1293840000000|33
3298534891188|1333238400000|44
10995116279918|1349049600000|31
13194139534518|1330560000000|30
2199023261926|1349049600000|42
3298534893116|1304208000000|37
4398046520000|1288569600000|73
5497558149256|1293840000000|34
4398046511741|1335830400000|33
6597069775874|1351728000000|28
9895604660263|1333238400000|32
16492674417673|1320105600000|30
3298534885690|1285891200000|38
12094627908606|1330560000000|54
2199023261989|1320105600000|28
8796093029101|1328054400000|42
4398046516189|1325376000000|28
16492674422985|1320105600000|43
9895604659576|1301616000000|28
7696581396156|1312156800000|35
8796093026247|1312156800000|35
8796093032501|1312156800000|35
1099511633337|1338508800000|28
7696581397362|1341100800000|38
14293651165759|1341100800000|38
1396|1341100800000|38
5497558149083|1312156800000|51
9895604654692|1351728000000|30
15393162795904|1325376000000|33
9895604659543|1320105600000|39
5497558139495|1335830400000|36
3298534889990|1335830400000|44
1099511632396|1309478400000|34
1099511631205|1285891200000|36
6597069769692|1291161600000|30
8796093028486|1288569600000|28
8820|1301616000000|98
2199023257885|1280620800000|31
2323|1280620800000|31
1099511633370|1280620800000|31
8796093029539|1280620800000|31
5497558140013|1320105600000|29
14293651165243|1330560000000|35
5497558140494|1304208000000|62
1099511634802|1351728000000|31
10995116286547|1346457600000|32
13194139540503|1346457600000|31
7696581401227|1298937600000|35
12094627912135|1341100800000|61
2014|1328054400000|31
16492674417717|1312156800000|39
1099511628347|1349049600000|31
14293651167338|1328054400000|32
16492674423163|1335830400000|36
8796093030886|1328054400000|38
15393162792202|1312156800000|43
9895604657575|1346457600000|28
6597069772159|1325376000000|28
13194139541340|1328054400000|29
6597069769640|1298937600000|48
14293651169153|1325376000000|29
14293651168048|1320105600000|37
4398046512833|1283299200000|36
14293651168096|1325376000000|41
10995116283069|1277942400000|54
4398046520579|1333238400000|44
13194139543570|1338508800000|34
16492674427523|1288569600000|34
10995116286619|1335830400000|54
5497558148783|1325376000000|49
3298534894006|1325376000000|29
5397|1306886400000|40
15393162798952|1301616000000|29
13194139541831|1335830400000|48
4398046518232|1301616000000|38
7696581404232|1304208000000|31
1099511638164|1335830400000|28
7696581401000|1280620800000|50
15393162797346|1301616000000|36
16492674422567|1351728000000|29
4398046517392|1346457600000|29
7696581394442|1346457600000|40
2199023265962|1333238400000|31
13194139535946|1328054400000|37
10995116285419|1306886400000|35
9895604652127|1349049600000|34
