adminName|companyName
Administrator-397|Company-9222
Administrator-179|Company-22320
Administrator-489|Company-19925
Administrator-647|Company-5222
Administrator-393|Company-16333
Administrator-179|Company-24966
Administrator-580|Company-7139
Administrator-390|Company-7322
Administrator-515|Company-12616
Administrator-156|Company-13131
Administrator-948|Company-9139
Administrator-373|Company-14489
Administrator-161|Company-11774
Administrator-445|Company-7810
Administrator-204|Company-7243
Administrator-404|Company-24607
Administrator-994|Company-9140
Administrator-820|Company-12560
Administrator-775|Company-21115
Administrator-184|Company-3331
Administrator-495|Company-13256
Administrator-426|Company-22976
Administrator-764|Company-24120
Administrator-826|Company-692
Administrator-542|Company-1116
Administrator-886|Company-17500
Administrator-808|Company-20448
Administrator-988|Company-5421
Administrator-925|Company-25205
Administrator-864|Company-25808
Administrator-710|Company-26688
Administrator-744|Company-12586
Administrator-274|Company-4595
Administrator-533|Company-3864
Administrator-220|Company-1713
Administrator-886|Company-14991
Administrator-513|Company-6025
Administrator-749|Company-16315
Administrator-340|Company-4897
Administrator-242|Company-8810
Administrator-56|Company-841
Administrator-904|Company-9051
Administrator-242|Company-1553
Administrator-423|Company-20201
Administrator-476|Company-19900
Administrator-770|Company-15750
Administrator-42|Company-9497
Administrator-181|Company-27707
Administrator-903|Company-2519
Administrator-161|Company-19012
Administrator-146|Company-12619
Administrator-371|Company-17454
Administrator-862|Company-18163
Administrator-687|Company-19462
Administrator-570|Company-14539
Administrator-999|Company-13904
Administrator-61|Company-24723
Administrator-585|Company-25812
Administrator-911|Company-22219
Administrator-123|Company-12706
Administrator-377|Company-24251
Administrator-196|Company-20071
Administrator-746|Company-12464
Administrator-120|Company-26339
Administrator-285|Company-17085
Administrator-298|Company-2243
Administrator-894|Company-15192
Administrator-282|Company-1286
Administrator-407|Company-15129
Administrator-6|Company-23833
Administrator-213|Company-20086
Administrator-629|Company-23215
Administrator-132|Company-14384
Administrator-884|Company-8778
Administrator-721|Company-11907
Administrator-329|Company-15900
