adminName|resourceName
Administrator-81|Employee-540455
Administrator-877|Employee-1120118
Administrator-78|Employee-771733
Administrator-79|Employee-710599
Administrator-712|Employee-543325
Administrator-962|Employee-890195
Administrator-564|Employee-1373646
Administrator-5|Employee-996807
Administrator-58|Employee-807633
Administrator-63|Employee-1198039
Administrator-492|Employee-701523
Administrator-216|Employee-1504332
Administrator-259|Employee-677584
Administrator-55|Employee-913709
Administrator-615|Employee-762475
Administrator-625|Employee-1400822
Administrator-843|Employee-781322
Administrator-262|Employee-791042
Administrator-743|Employee-592862
Administrator-794|Employee-833882
Administrator-251|Employee-885122
Administrator-554|Employee-1228413
Administrator-903|Employee-1506171
Administrator-270|Employee-567800
Administrator-686|Employee-967492
Administrator-808|Employee-942216
Administrator-795|Employee-557930
Administrator-369|Employee-1405640
Administrator-113|Employee-1013987
Administrator-825|Employee-872491
Administrator-221|Employee-750070
Administrator-876|Employee-528378
Administrator-286|Employee-1344403
Administrator-328|Employee-896119
Administrator-163|Employee-963183
Administrator-292|Employee-1312029
Administrator-280|Employee-1094087
Administrator-384|Employee-993985
Administrator-502|Employee-1135681
Administrator-205|Employee-822642
Administrator-274|Employee-934051
Administrator-721|Employee-1355610
Administrator-672|Employee-668830
Administrator-261|Employee-1296264
Administrator-938|Employee-1251541
Administrator-588|Employee-741754
Administrator-690|Employee-1006205
Administrator-479|Employee-687656
Administrator-759|Employee-1424965
Administrator-966|Employee-1123544
Administrator-791|Employee-1407257
Administrator-712|Employee-726314
Administrator-778|Employee-918226
Administrator-282|Employee-916944
Administrator-357|Employee-777861
Administrator-93|Employee-619943
Administrator-365|Employee-1260262
Administrator-653|Employee-551829
Administrator-40|Employee-1330956
Administrator-158|Employee-776645
Administrator-599|Employee-987172
Administrator-507|Employee-1396813
Administrator-334|Employee-1258649
Administrator-182|Employee-928888
Administrator-151|Employee-1252660
Administrator-945|Employee-1405448
Administrator-836|Employee-933302
Administrator-832|Employee-1454383
Administrator-789|Employee-941577
Administrator-781|Employee-549294
Administrator-902|Employee-1217486
Administrator-446|Employee-613760
Administrator-265|Employee-740954
Administrator-838|Employee-1486626
Administrator-682|Employee-679643
Administrator-465|Employee-882020
Administrator-761|Employee-937776
Administrator-148|Employee-990801
Administrator-155|Employee-1052365
Administrator-273|Employee-1047036
Administrator-576|Employee-901355
Administrator-494|Employee-1072133
Administrator-315|Employee-1398045
Administrator-312|Employee-830583
Administrator-942|Employee-677587
Administrator-853|Employee-694336
Administrator-55|Employee-1033818
