adminName|resourceName
Administrator-463|Employee-930597
Administrator-187|Account-2003314
Administrator-81|Employee-540455
Administrator-463|Account-4444096
Administrator-463|Employee-1188824
Administrator-463|Account-3563416
Administrator-649|Employee-843272
Administrator-104|Account-2441997
Administrator-877|Employee-1120118
Administrator-649|Account-4378774
Administrator-649|Employee-1185357
Administrator-649|Account-3553096
Administrator-853|Employee-831859
Administrator-172|Account-1794644
Administrator-78|Employee-771733
Administrator-853|Account-2992638
Administrator-853|Employee-1208440
Administrator-853|Account-3621858
Administrator-676|Employee-838288
Administrator-166|Account-2348937
Administrator-79|Employee-710599
Administrator-676|Account-4138218
Administrator-676|Employee-1370497
Administrator-676|Account-4107880
Administrator-562|Employee-691924
Administrator-151|Account-2432620
Administrator-712|Employee-543325
Administrator-562|Account-4052952
Administrator-562|Employee-1094502
Administrator-562|Account-3281658
Administrator-556|Employee-567791
Administrator-148|Account-2481858
Administrator-962|Employee-890195
Administrator-556|Account-3754875
Administrator-556|Employee-1118052
Administrator-556|Account-3351812
Administrator-880|Employee-635579
Administrator-181|Account-2053971
Administrator-564|Employee-1373646
Administrator-880|Account-3263409
Administrator-880|Employee-1165514
Administrator-880|Account-3493669
Administrator-265|Employee-913659
Administrator-154|Account-2542725
Administrator-5|Employee-996807
Administrator-265|Account-3943330
Administrator-265|Employee-1382043
Administrator-265|Account-4142294
Administrator-775|Employee-692083
Administrator-175|Account-1875705
Administrator-58|Employee-807633
Administrator-775|Account-2661862
Administrator-775|Employee-1229493
Administrator-775|Account-3685035
Administrator-640|Employee-607092
Administrator-160|Account-2115055
Administrator-63|Employee-1198039
Administrator-640|Account-3684644
Administrator-640|Employee-1175718
Administrator-640|Account-3524257
Administrator-769|Employee-912973
Administrator-169|Account-1813895
Administrator-492|Employee-701523
Administrator-769|Account-3751328
Administrator-769|Employee-1365290
Administrator-769|Account-4092452
Administrator-292|Employee-531795
Administrator-133|Account-2104790
Administrator-216|Employee-1504332
Administrator-292|Account-4378774
Administrator-292|Employee-1256436
Administrator-292|Account-3766010
Administrator-988|Employee-722275
Administrator-163|Account-2361770
Administrator-259|Employee-677584
Administrator-988|Account-2373951
Administrator-988|Employee-1185108
Administrator-988|Account-3552270
Administrator-874|Employee-768948
Administrator-121|Account-2144960
Administrator-55|Employee-913709
Administrator-874|Account-3565421
Administrator-874|Employee-1252789
Administrator-874|Account-3754875
Administrator-187|Employee-924088
Administrator-157|Account-2153055
Administrator-615|Employee-762475
Administrator-187|Account-4047137
Administrator-187|Employee-1273771
Administrator-187|Account-3818123
Administrator-82|Employee-692254
Administrator-142|Account-1804516
Administrator-625|Employee-1400822
Administrator-82|Account-3685035
Administrator-82|Employee-1273603
Administrator-82|Account-3817671
Administrator-697|Employee-817927
Administrator-10|Account-1592165
Administrator-843|Employee-781322
Administrator-697|Account-4470520
Administrator-697|Employee-1155040
Administrator-697|Account-3462284
Administrator-391|Employee-920750
Administrator-115|Account-2543073
Administrator-262|Employee-791042
Administrator-391|Account-3333500
Administrator-391|Employee-1000897
Administrator-391|Account-3000283
Administrator-286|Employee-715732
Administrator-136|Account-2283705
Administrator-743|Employee-592862
Administrator-286|Account-2722486
Administrator-286|Employee-1088143
Administrator-286|Account-3262553
Administrator-760|Employee-662346
Administrator-145|Account-2333496
Administrator-794|Employee-833882
Administrator-104|Account-3298862
Administrator-104|Employee-1077203
Administrator-104|Account-3229672
Administrator-104|Employee-814795
Administrator-103|Account-2155398
Administrator-251|Employee-885122
Administrator-760|Account-3530715
Administrator-760|Employee-1215528
Administrator-760|Account-3643207
Administrator-946|Employee-547711
Administrator-130|Account-2304674
Administrator-554|Employee-1228413
Administrator-946|Account-3937262
Administrator-946|Employee-1372188
Administrator-946|Account-4113041
Administrator-40|Employee-543950
Administrator-13|Account-1610545
Administrator-903|Employee-1506171
Administrator-40|Account-2767412
Administrator-40|Employee-1067026
Administrator-40|Account-3199204
Administrator-655|Employee-671841
Administrator-124|Account-2264148
Administrator-270|Employee-567800
Administrator-655|Account-4078235
Administrator-655|Employee-1195030
Administrator-655|Account-3581948
Administrator-490|Employee-665346
Administrator-118|Account-2497241
Administrator-686|Employee-967492
Administrator-490|Account-3203050
Administrator-490|Employee-1151802
