name|interests:LString
User-489009|Topic-67,Topic-62,Topic-25
User-952203|Topic-87,Topic-96
User-73990|Topic-63,Topic-74,Topic-52
User-928944|Topic-96,Topic-19,Topic-56
User-646545|Topic-81
User-953198|Topic-12,Topic-77,Topic-18
User-179867|Topic-47,Topic-90,Topic-40
User-90139|Topic-26,Topic-44
User-861669|Topic-73,Topic-33,Topic-71
User-556575|Topic-39,Topic-52
User-967754|Topic-95
User-718180|Topic-2
User-707565|Topic-59,Topic-21
User-877784|Topic-42,Topic-100
User-922689|Topic-26,Topic-27
User-617595|Topic-49,Topic-58,Topic-78
User-779709|Topic-76
User-780153|Topic-100,Topic-5,Topic-51
User-333658|Topic-22,Topic-9
User-835229|Topic-41,Topic-22,Topic-9
User-874018|Topic-63,Topic-89,Topic-93
User-770102|Topic-81,Topic-37,Topic-56
User-690183|Topic-57,Topic-66,Topic-68
User-41274|Topic-9,Topic-71
User-383551|Topic-62,Topic-93,Topic-5
User-65881|Topic-9
User-55830|Topic-49
User-373500|Topic-22
User-372936|Topic-44,Topic-78,Topic-26
User-935038|Topic-61
User-123362|Topic-85,Topic-37
User-549030|Topic-23,Topic-71,Topic-81
User-444550|Topic-30,Topic-87,Topic-4
User-307218|Topic-64,Topic-58,Topic-39
User-203302|Topic-77,Topic-83,Topic-42
User-202738|Topic-77,Topic-75,Topic-31
User-628406|Topic-52,Topic-91,Topic-18
User-980862|Topic-27,Topic-44
User-162172|Topic-85,Topic-70,Topic-83
User-358085|Topic-2,Topic-4
User-151557|Topic-86,Topic-97,Topic-7
User-810664|Topic-27,Topic-88,Topic-53
User-893402|Topic-25
User-609486|Topic-34
User-505570|Topic-68
User-894397|Topic-72,Topic-59,Topic-33
User-904529|Topic-27,Topic-77
User-221633|Topic-73
User-723204|Topic-57,Topic-52
User-391852|Topic-43,Topic-25
User-418110|Topic-25
User-682074|Topic-52,Topic-75,Topic-25
User-131663|Topic-26,Topic-80,Topic-94
User-33165|Topic-7,Topic-95,Topic-78
User-452851|Topic-57,Topic-66
User-672023|Topic-20
User-953858|Topic-24
User-648764|Topic-68,Topic-1
User-671459|Topic-19,Topic-54,Topic-93
User-6013|Topic-36,Topic-20
User-125117|Topic-12,Topic-8
User-581489|Topic-24,Topic-43,Topic-28
User-366386|Topic-5,Topic-15,Topic-51
User-180992|Topic-32,Topic-25
User-743094|Topic-5,Topic-86
User-275421|Topic-78
User-274857|Topic-4,Topic-16
User-686600|Topic-53,Topic-88
User-106197|Topic-55
User-732479|Topic-47,Topic-29
User-628870|Topic-10,Topic-100
User-972753|Topic-51,Topic-48,Topic-79
User-105223|Topic-79
User-804093|Topic-31
User-731505|Topic-76,Topic-58,Topic-13
User-104659|Topic-17
User-426411|Topic-13,Topic-39,Topic-58
User-144012|Topic-96,Topic-51
User-425847|Topic-67,Topic-96,Topic-17
User-645019|Topic-3
User-802555|Topic-28,Topic-52,Topic-35
User-882783|Topic-59,Topic-29,Topic-47
User-667680|Topic-33,Topic-12
User-41466|Topic-83
User-18771|Topic-39,Topic-100
User-886288|Topic-93,Topic-22
User-335877|Topic-29,Topic-73,Topic-70
User-712585|Topic-74,Topic-17,Topic-54
User-876237|Topic-95,Topic-27
User-430186|Topic-7,Topic-84,Topic-68
User-407491|Topic-20,Topic-68
User-626099|Topic-84
User-248417|Topic-55
User-569605|Topic-44,Topic-59,Topic-90
User-706039|Topic-40,Topic-22
User-287206|Topic-12,Topic-84
User-946313|Topic-12,Topic-79
User-90795|Topic-8,Topic-100
User-309416|Topic-84,Topic-18
User-80744|Topic-65,Topic-27,Topic-69
User-117008|Topic-74,Topic-33,Topic-15
User-287227|Topic-56
User-354772|Topic-14,Topic-43
User-856343|Topic-69,Topic-65
User-731480|Topic-59
User-15026|Topic-20,Topic-71
User-9950|Topic-17
User-348226|Topic-66
User-811420|Topic-63,Topic-74
User-162832|Topic-83,Topic-4
User-588500|Topic-37,Topic-19
User-894589|Topic-3,Topic-61,Topic-8
User-589495|Topic-68,Topic-52
User-60850|Topic-24
User-415792|Topic-63
User-588521|Topic-100
User-916799|Topic-86,Topic-37
User-497966|Topic-67,Topic-78,Topic-15
User-955588|Topic-59,Topic-23,Topic-88
User-54304|Topic-81,Topic-52
User-577906|Topic-22,Topic-53
User-328332|Topic-85,Topic-86,Topic-97
User-954614|Topic-73,Topic-61,Topic-17
User-223852|Topic-73,Topic-96
User-327768|Topic-78,Topic-96
User-649520|Topic-78
User-705040|Topic-27,Topic-18,Topic-10
User-868128|Topic-96
User-600560|Topic-39
User-317717|Topic-18
User-684293|Topic-44
User-558986|Topic-56
User-778158|Topic-63
User-935694|Topic-44
User-72635|Topic-43,Topic-1,Topic-96
User-390305|Topic-88,Topic-3
User-929148|Topic-36,Topic-63,Topic-100}
User-220107|Topic-67,Topic-42,Topic-5
User-837619|Topic-50,Topic-96
User-371385|Topic-92
User-156282|Topic-50,Topic-42
User-130137|Topic-78,Topic-20
User-782564|Topic-68,Topic-94
User-451325|Topic-67,Topic-30,Topic-17
User-145667|Topic-13,Topic-78
User-909254|Topic-91,Topic-98
User-201187|Topic-69
User-804774|Topic-34,Topic-65
User-692594|Topic-4,Topic-77,Topic-69
User-521401|Topic-20,Topic-14
User-520837|Topic-36,Topic-100
User-295971|Topic-18,Topic-13,Topic-57
User-81500|Topic-56
User-309608|Topic-42,Topic-62,Topic-29
User-430867|Topic-64,Topic-27,Topic-98
User-594519|Topic-45,Topic-27
User-289425|Topic-87,Topic-24
User-125773|Topic-50,Topic-49
User-27275|Topic-14,Topic-84
User-971227|Topic-28,Topic-3,Topic-96
User-446961|Topic-6,Topic-5,Topic-80
User-502481|Topic-27
User-666133|Topic-84,Topic-25,Topic-10
User-219638|Topic-40,Topic-73
User-17224|Topic-61,Topic-31
User-220082|Topic-51
User-119227|Topic-65,Topic-21,Topic-100}
User-300022|Topic-18,Topic-88
User-359501|Topic-35
User-356991|Topic-31
User-575599|Topic-21
User-99419|Topic-43,Topic-51,Topic-87
User-574625|Topic-84
User-269531|Topic-88,Topic-38,Topic-71
User-268967|Topic-54
User-895813|Topic-25
User-990122|Topic-69,Topic-25,Topic-89
User-122028|Topic-99,Topic-22
User-940718|Topic-24,Topic-71,Topic-51
User-443216|Topic-66
User-138122|Topic-75,Topic-96,Topic-40
User-990143|Topic-41,Topic-66,Topic-83
User-876893|Topic-28
User-379391|Topic-34,Topic-48,Topic-45
User-36140|Topic-96,Topic-48,Topic-47
User-35576|Topic-55,Topic-6
User-353246|Topic-11,Topic-43
User-329987|Topic-1,Topic-92
User-9398|Topic-24,Topic-72
User-674434|Topic-55,Topic-25,Topic-48
User-510782|Topic-27,Topic-70
User-706695|Topic-66,Topic-36,Topic-39
User-831970|Topic-14,Topic-63
User-424296|Topic-83,Topic-62,Topic-66
User-8424|Topic-52,Topic-77
User-367802|Topic-87,Topic-77,Topic-6
User-744510|Topic-19
User-412707|Topic-55
User-107613|Topic-65,Topic-16,Topic-70
User-654540|Topic-72,Topic-78
User-653976|Topic-2,Topic-94
User-348882|Topic-6,Topic-32,Topic-84
User-568054|Topic-82,Topic-15,Topic-13
User-889242|Topic-87
User-725590|Topic-47,Topic-20,Topic-82
User-643925|Topic-88,Topic-72,Topic-59
User-462600|Topic-24
User-805530|Topic-84
User-180201|Topic-80
User-719044|Topic-84,Topic-5,Topic-24
User-889263|Topic-9,Topic-26
User-181196|Topic-98,Topic-78,Topic-4
User-54960|Topic-68,Topic-94
User-714996|Topic-85,Topic-51,Topic-57
User-797734|Topic-67,Topic-82,Topic-90
User-934168|Topic-42
User-629074|Topic-64,Topic-25,Topic-69
User-71109|Topic-37,Topic-72,Topic-4
User-345137|Topic-6,Topic-30,Topic-80
User-241221|Topic-24,Topic-31
User-93770|Topic-49,Topic-69,Topic-31
User-948724|Topic-20,Topic-40
User-115914|Topic-47,Topic-34,Topic-96
User-482490|Topic-86,Topic-48
User-199647|Topic-41
User-858754|Topic-13
User-881449|Topic-34,Topic-57
User-150687|Topic-41,Topic-13
User-576355|Topic-5
User-52189|Topic-37
User-471875|Topic-21,Topic-16,Topic-81
User-691047|Topic-91
User-953063|Topic-77,Topic-99,Topic-59
User-470901|Topic-44,Topic-41,Topic-42
User-269723|Topic-99,Topic-92
User-406157|Topic-32,Topic-66,Topic-18
User-919753|Topic-25,Topic-92
User-384415|Topic-22,Topic-84
User-761123|Topic-83,Topic-81,Topic-98
User-210712|Topic-4,Topic-59,Topic-71
User-531900|Topic-47
User-635816|Topic-19,Topic-67,Topic-25
User-130793|Topic-15
User-451981|Topic-32
User-71084|Topic-52,Topic-9,Topic-34
User-992341|Topic-86,Topic-2
User-445435|Topic-1
User-707451|Topic-83,Topic-4
User-163036|Topic-94
User-602971|Topic-19,Topic-22,Topic-51
User-926059|Topic-75,Topic-58,Topic-5
User-822143|Topic-54,Topic-42
User-320572|Topic-33
User-36800|Topic-91,Topic-58,Topic-53
User-916008|Topic-50,Topic-23
User-61054|Topic-6,Topic-18,Topic-94
User-37795|Topic-80,Topic-68,Topic-90
User-425520|Topic-4,Topic-35
User-233112|Topic-93
User-75610|Topic-96,Topic-13
User-392716|Topic-57,Topic-42,Topic-49
User-17880|Topic-43,Topic-50,Topic-4
User-143142|Topic-75,Topic-77
User-119883|Topic-46,Topic-17,Topic-90
User-142578|Topic-67,Topic-34,Topic-77
User-464330|Topic-6
User-132527|Topic-75
User-40596|Topic-80,Topic-97
User-56690|Topic-22,Topic-98
User-374360|Topic-72
User-373796|Topic-56,Topic-41
User-372822|Topic-32,Topic-100,Topic-68}
User-204162|Topic-74,Topic-32,Topic-45
User-203598|Topic-94
User-889923|Topic-12,Topic-92
User-112633|Topic-100,Topic-41
User-433821|Topic-79,Topic-90,Topic-84
User-196366|Topic-63,Topic-98,Topic-3
User-894262|Topic-28,Topic-49
User-151443|Topic-87,Topic-33,Topic-32
User-347356|Topic-5,Topic-44
User-974202|Topic-36,Topic-57,Topic-23
User-29686|Topic-15
User-973638|Topic-36,Topic-33,Topic-62
User-668544|Topic-22,Topic-28
User-691239|Topic-50
User-504892|Topic-14,Topic-73,Topic-4
User-724064|Topic-9,Topic-44
User-713449|Topic-24,Topic-6
User-408355|Topic-3,Topic-21
User-883668|Topic-68,Topic-4
User-738620|Topic-74,Topic-18,Topic-69
User-210904|Topic-89,Topic-70,Topic-9
User-955282|Topic-100
User-406817|Topic-23,Topic-44,Topic-58
User-124418|Topic-63,Topic-16,Topic-62
User-294637|Topic-52,Topic-87
User-92223|Topic-40
User-648650|Topic-61,Topic-32
User-671345|Topic-10
User-366251|Topic-47
User-22436|Topic-79,Topic-62
User-355657|Topic-12,Topic-86,Topic-100}
User-595931|Topic-18
User-732365|Topic-100
User-427271|Topic-67,Topic-96,Topic-47
User-61714|Topic-64
User-178206|Topic-22
User-335742|Topic-38,Topic-17
User-339247|Topic-98,Topic-34
User-877097|Topic-9
User-656951|Topic-39,Topic-80
User-249277|Topic-97,Topic-77,Topic-96
User-771643|Topic-68,Topic-2,Topic-52
User-144797|Topic-4
User-875559|Topic-48,Topic-60,Topic-14
User-865508|Topic-35,Topic-74
